"","geo","year","values"
"221","es",2014,100.02
"222","fi",2014,100.07
"223","fr",2014,100.26
"224","hr",2014,101.12
"225","hu",2014,100.22
"226","ie",2014,100.6
"227","is",2014,101.05
"228","it",2014,98.6
"229","lt",2014,100.4
"230","lu",2014,100.47
"231","lv",2014,99.65
"232","mk",2014,99.49
"233","mt",2014,101.26
"234","nl",2014,100.14
"235","no",2014,98
"236","pl",2014,100.5
"237","pt",2014,99.37
"238","ro",2014,100.13
"239","rs",2014,98.6
"240","se",2014,99.32
"241","si",2014,100.69
"242","sk",2014,100.28
"243","tr",2014,93.45
"244","gb",2014,100.2
"245","us",2014,101.37
"246","at",2013,97.37
"247","be",2013,99.43
"248","bg",2013,102.29
"249","ch",2013,100.7
"250","cy",2013,102.54
"251","cz",2013,99.3
"252","de",2013,98.9
"253","dk",2013,99.3
"254","ee",2013,100.43
"255","gr",2013,100.38
"256","es",2013,100.54
"257","fi",2013,98.84
"258","fr",2013,99.72
"259","hr",2013,100.84
"260","hu",2013,99.93
"261","ie",2013,100
"262","is",2013,98.81
"263","it",2013,98.7
"264","lt",2013,100.13
"265","lu",2013,99.77
"266","lv",2013,98.82
"267","mk",2013,99.98
"268","mt",2013,100.41
"269","nl",2013,99.78
"270","no",2013,96.2
"271","pl",2013,100.6
"272","pt",2013,99.43
"273","ro",2013,98.81
"274","rs",2013,96.8
"275","se",2013,99.09
"276","si",2013,100.71
"277","sk",2013,100.46
"278","tr",2013,85.08
"279","gb",2013,98.7
"280","us",2013,99.94
"281","at",2012,95.47
"282","be",2012,98.35
"283","bg",2012,103.03
"284","ch",2012,100.3
"285","cy",2012,102.46
"286","cz",2012,98.1
"287","de",2012,97.4
"288","dk",2012,99.2
"289","ee",2012,96.98
"290","gr",2012,101.36
"291","es",2012,98.92
"292","fi",2012,96.85
"293","fr",2012,98.76
"294","hr",2012,98.52
"295","hu",2012,98.39
"296","ie",2012,99.9
"297","is",2012,94.33
"298","it",2012,97.6
"299","lt",2012,99.6
"300","lu",2012,98.11
"301","lv",2012,98.91
"302","mk",2012,97.03
"303","mt",2012,99.76
"304","nl",2012,97.07
"305","no",2012,93.1
"306","pl",2012,99.8
"307","pt",2012,99.27
"308","ro",2012,96.28
