"","currency","year","values"
"953","ALL",1995,119.21
"954","AUD",1995,1.7588
"955","BGN",1995,0.0883
"956","CAD",1995,1.7675
"957","CHF",1995,1.5597
"958","CZK",1995,34.795
"959","DKK",1995,7.3048
"960","GBP",1995,0.83167
"961","HRK",1995,6.76343
"962","HUF",1995,170.25
"963","JPY",1995,123.33
"964","MKD",1995,49.5287
"965","NOK",1995,8.2673
"966","NZD",1995,1.9831
"967","PLN",1995,3.1826
"968","RON",1995,0.2671
"969","RSD",1995,1.8842
"970","SEK",1995,9.4304
"971","TRY",1995,0.0608
"972","USD",1995,1.3044
"973","ZAR",1995,4.7466
"974","AUD",1994,1.6522
"975","CAD",1994,1.6859
"976","CHF",1994,1.6125
"977","CZK",1994,34.398
"978","DKK",1994,7.5662
"979","GBP",1994,0.79322
"980","HRK",1994,7.04528
"981","HUF",1994,131.52
"982","JPY",1994,122.17
"983","MKD",1994,50.098
"984","NOK",1994,8.3939
"985","NZD",1994,2.033
"986","PLN",1994,2.7978
"987","SEK",1994,9.4622
"988","TRY",1994,0.039
"989","USD",1994,1.2232
"990","ZAR",1994,4.4011
"991","AUD",1993,1.6715
"992","CAD",1993,1.4816
"993","CHF",1993,1.6965
"994","CZK",1993,33.619
"995","DKK",1993,7.8335
"996","GBP",1993,0.75961
"997","HRK",1993,4.83309
"998","HUF",1993,107.92
"999","JPY",1993,117.64
"1000","NOK",1993,8.3408
"1001","NZD",1993,2.0508
"1002","PLN",1993,2.0975
"1003","SEK",1993,9.137
"1004","TRY",1993,0.0132
"1005","USD",1993,1.1333
"1006","AUD",1992,1.9346
"1007","CAD",1992,1.6684
"1008","CHF",1992,1.8222
"1009","DKK",1992,7.8485
"1010","GBP",1992,0.72255
"1011","HRK",1992,0.3626
"1012","HUF",1992,107.37
"1013","JPY",1992,177.03
"1014","NOK",1992,8.0266
"1015","NZD",1992,2.5929
"1016","PLN",1992,1.904
"1017","SEK",1992,7.4107
"1018","TRY",1992,0.0099
"1019","USD",1992,1.4019
"1020","AUD",1991,1.5034
"1021","CAD",1991,1.3473
"1022","CHF",1991,1.7886
"1023","DKK",1991,7.9352
"1024","GBP",1991,0.69902
"1025","HUF",1991,89.7
"1026","JPY",1991,160.95
"1027","NOK",1991,8.0187
"1028","NZD",1991,2.0507
"1029","PLN",1991,1.329
"1030","SEK",1991,7.4513
"1031","TRY",1991,0.0053
"1032","USD",1991,1.1764
"1033","AUD",1990,1.628
"1034","CAD",1990,1.5067
"1035","CHF",1990,1.7233
"1036","DKK",1990,7.9073
"1037","GBP",1990,0.69278
"1038","HUF",1990,82.07
"1039","JPY",1990,193.99
"1040","NOK",1990,8.0088
"1041","NZD",1990,2.1452
"1042","PLN",1990,1.2504
"1043","SEK",1990,7.6058
"1044","TRY",1990,0.0035
"1045","USD",1990,1.3162
"1046","AUD",1989,1.4129
"1047","CAD",1989,1.2668
"1048","CHF",1989,1.7886
"1049","DKK",1989,8.064
"1050","GBP",1989,0.67549
"1051","HUF",1989,65.24
"1052","JPY",1989,152.22
"1053","NOK",1989,7.5843
"1054","NZD",1989,1.8211
"1055","SEK",1989,7.0453
"1056","USD",1989,1.0778
"1057","AUD",1988,1.3694
"1058","CAD",1988,1.3497
"1059","CHF",1988,1.7465
"1060","DKK",1988,7.9598
"1061","GBP",1988,0.64986
"1062","HUF",1988,59.98
"1063","JPY",1988,147.52
"1064","NOK",1988,7.6033
"1065","NZD",1988,1.7009
"1066","SEK",1988,7.1465
"1067","USD",1988,1.1039
"1068","AUD",1987,1.5786
"1069","CAD",1987,1.4799
"1070","CHF",1987,1.7173
"1071","DKK",1987,7.9502
"1072","GBP",1987,0.69872
"1073","JPY",1987,164.71
"1074","NOK",1987,7.58
"1075","NZD",1987,1.8962
"1076","SEK",1987,7.2387
"1077","USD",1987,1.1164
"1078","AUD",1986,1.6679
"1079","CAD",1986,1.4183
"1080","CHF",1986,1.6967
"1081","DKK",1986,7.9273
"1082","GBP",1986,0.6871
"1083","JPY",1986,157.38
"1084","NOK",1986,7.5059
"1085","NZD",1986,2.0386
"1086","SEK",1986,7.0753
"1087","USD",1986,1.0214
"1088","AUD",1985,1.1272
"1089","CAD",1985,1.0828
"1090","CHF",1985,1.8281
"1091","DKK",1985,8.06
"1092","GBP",1985,0.57574
"1093","JPY",1985,189.28
"1094","NOK",1985,6.5694
"1095","NZD",1985,1.4849
"1096","SEK",1985,6.6249
"1097","USD",1985,0.798
"1098","AUD",1984,0.9164
"1099","CAD",1984,1.0113
"1100","CHF",1984,1.8761
"1101","DKK",1984,8.1647
"1102","GBP",1984,0.5909
"1103","JPY",1984,188.03
"1104","NOK",1984,6.4387
"1105","NZD",1984,1.5522
"1106","SEK",1984,6.4793
"1107","USD",1984,0.7759
"1108","AUD",1983,0.9692
"1109","CAD",1983,1.0513
"1110","CHF",1983,1.8433
"1111","DKK",1983,8.2032
"1112","GBP",1983,0.56757
"1113","JPY",1983,208.32
"1114","NOK",1983,6.3609
"1115","NZD",1983,1.3079
"1116","SEK",1983,6.6988
"1117","USD",1983,0.8524
"1118","AUD",1982,0.9726
"1119","CAD",1982,1.1856
"1120","CHF",1982,2.0068
"1121","DKK",1982,8.2207
"1122","GBP",1982,0.55156
"1123","JPY",1982,246.37
"1124","NOK",1982,6.3537
"1125","NZD",1982,1.3007
"1126","SEK",1982,5.8416
"1127","USD",1982,0.9521
"1128","CAD",1981,1.2319
"1129","CHF",1981,2.1828
"1130","DKK",1981,7.9128
"1131","GBP",1981,0.55299
"1132","JPY",1981,235.1
"1133","NOK",1981,6.2229
"1134","SEK",1981,5.3366
"1135","USD",1981,1.0069
"1136","CAD",1980,1.6374
"1137","CHF",1980,2.3342
"1138","DKK",1980,7.8194
"1139","GBP",1980,0.5962
"1140","JPY",1980,316.53
"1141","NOK",1980,6.8739
"1142","SEK",1980,5.8992
"1143","USD",1980,1.413
"1144","CAD",1979,1.6185
"1145","CHF",1979,2.2907
"1146","DKK",1979,7.2916
"1147","GBP",1979,0.61783
"1148","JPY",1979,301.25
"1149","NOK",1979,6.957
"1150","SEK",1979,5.8356
"1151","USD",1979,1.3831
"1152","CAD",1978,1.4659
"1153","CHF",1978,2.1523
"1154","DKK",1978,7.0886
"1155","GBP",1978,0.66407
"1156","JPY",1978,242.88
"1157","NOK",1978,6.7722
"1158","SEK",1978,5.7123
"1159","USD",1978,1.2859
"1160","CAD",1977,1.2282
"1161","CHF",1977,2.7505
"1162","DKK",1977,6.8881
"1163","GBP",1977,0.65688
"1164","JPY",1977,304.65
"1165","NOK",1977,6.0605
"1166","SEK",1977,5.092
"1167","USD",1977,1.1433
"1168","CAD",1976,1.0846
"1169","CHF",1976,2.7289
"1170","DKK",1976,6.6952
"1171","GBP",1976,0.6176
"1172","JPY",1976,319.82
"1173","NOK",1976,6.0628
"1174","SEK",1976,4.8541
"1175","USD",1976,1.1009
"1176","CAD",1975,1.2363
"1177","CHF",1975,3.2043
"1178","DKK",1975,7.1235
"1179","GBP",1975,0.56503
"1180","JPY",1975,355.64
"1181","NOK",1975,6.5263
"1182","SEK",1975,5.1548
"1183","USD",1975,1.1948
"1184","CHF",1974,3.5496
"1185","DKK",1974,7.1982
"1186","GBP",1974,0.50752
"1187","NOK",1974,6.5216
"1188","SEK",1974,5.2608
"1189","USD",1974,1.1906
"1190","DKK",1973,7.3511
"1191","GBP",1973,0.52054
"1192","USD",1973,1.2892
"1193","DKK",1972,7.7535
"1194","GBP",1972,0.45707
"1195","USD",1972,1.1199
"1196","DKK",1971,7.804
"1197","GBP",1971,0.43099
"1198","USD",1971,1.0502
