"","currency","year","values"
"219","GBP",2015,0.71423
"220","HKD",2015,8.6358
"221","HRK",2015,7.5578
"222","HUF",2015,311.61
"223","IDR",2015,15370.92
"224","ILS",2015,4.2836
"225","INR",2015,72.5361
"226","ISK",2015,146.81
"227","JPY",2015,137.12
"228","KRW",2015,1313.48
"229","MAD",2015,10.86
"230","MKD",2015,61.4973
"231","MXN",2015,18.4333
"232","MYR",2015,4.5297
"233","NOK",2015,9.1815
"234","NZD",2015,1.7001
"235","PHP",2015,51.536
"236","PLN",2015,4.1953
"237","RON",2015,4.4235
"238","RSD",2015,120.2218
"239","RUB",2015,73.3597
"240","SEK",2015,9.5155
"241","SGD",2015,1.5573
"242","THB",2015,39.4654
"243","TRY",2015,3.1826
"244","TWD",2015,35.868
"245","USD",2015,1.1139
"246","ZAR",2015,14.3821
"247","ALL",2014,139.31
"248","ARS",2014,11.0568
"249","AUD",2014,1.4306
"250","BAM",2014,1.95583
"251","BGN",2014,1.9558
"252","BRL",2014,3.0219
"253","CAD",2014,1.4548
"254","CHF",2014,1.2118
"255","CNY",2014,8.1965
"256","CZK",2014,27.816
"257","DKK",2014,7.4551
"258","DZD",2014,106.56
"259","EGP",2014,9.52
"260","GBP",2014,0.7973
"261","HKD",2014,10.3207
"262","HRK",2014,7.6326
"263","HUF",2014,313.91
"264","IDR",2014,15603.1
"265","ILS",2014,4.6569
"266","INR",2014,81.0709
"267","ISK",2014,154.42
"268","JPY",2014,137.11
"269","KRW",2014,1364.17
"270","MAD",2014,11.19
"271","MKD",2014,61.4976
"272","MXN",2014,17.5051
"273","MYR",2014,4.231
"274","NOK",2014,8.2522
"275","NZD",2014,1.5783
"276","PHP",2014,58.32
"277","PLN",2014,4.1919
"278","RON",2014,4.4252
"279","RSD",2014,117.3078
"280","RUB",2014,48.1781
"281","SEK",2014,9.1878
"282","SGD",2014,1.6622
"283","THB",2014,42.644
"284","TRY",2014,2.8784
"285","TWD",2014,39.926
"286","USD",2014,1.3316
"287","ZAR",2014,14.2052
"288","ALL",2013,140.01
"289","ARS",2013,7.4197
"290","AUD",2013,1.4742
"291","BAM",2013,1.95583
"292","BGN",2013,1.9558
"293","BRL",2013,3.117
"294","CAD",2013,1.3853
"295","CHF",2013,1.2338
"296","CNY",2013,8.1477
"297","CZK",2013,25.818
"298","DKK",2013,7.458
"299","DZD",2013,107.06
"300","EGP",2013,9.3
"301","GBP",2013,0.85904
"302","HKD",2013,10.3222
"303","HRK",2013,7.5372
"304","HUF",2013,299.46
"305","IDR",2013,14168.72
"306","ILS",2013,4.761
"307","INR",2013,83.948
"308","ISK",2013,159.32
"309","JPY",2013,130.34
"310","KRW",2013,1485.93
"311","MAD",2013,11.18
"312","MKD",2013,61.4957
"313","MXN",2013,17.1996
"314","MYR",2013,4.3631
"315","NOK",2013,7.9386
"316","NZD",2013,1.6829
"317","PHP",2013,58.471
"318","PLN",2013,4.2299
"319","RON",2013,4.4371
"320","RSD",2013,114.0325
"321","RUB",2013,43.9748
"322","SEK",2013,8.7034
"323","SGD",2013,1.6941
"324","THB",2013,42.072
"325","TRY",2013,2.6125
"326","TWD",2013,39.874
"327","USD",2013,1.331
"328","ZAR",2013,13.419
"329","ALL",2012,137.35
"330","ARS",2012,5.7096
"331","AUD",2012,1.1841
"332","BAM",2012,1.95583
"333","BGN",2012,1.9558
"334","BRL",2012,2.517
"335","CAD",2012,1.2315
"336","CHF",2012,1.2011
"337","CNY",2012,7.8864
"338","CZK",2012,25.021
"339","DKK",2012,7.4454
"340","DZD",2012,100.82
"341","EGP",2012,7.54
"342","GBP",2012,0.78884
"343","HKD",2012,9.6177
"344","HRK",2012,7.4853
"345","HUF",2012,278.93
"346","IDR",2012,11777.55
"347","ILS",2012,4.9779
